U+349A	온
U+4F6A	회
U+4F6F	양
U+4F70	백
U+4F73	가
U+4F74	이
U+4F76	길
U+4F78	괄
U+4F79	궤
U+4F7A	전
U+4F7B	조
U+4F7C	교
U+4F7D	차
U+4F7E	일
U+4F7F	사
U+4F80	형
U+4F81	신
U+4F83	간
U+4F84	질
U+4F86	래
U+4F88	치
U+4F89	과
U+4F8A	광
U+4F8B	례
U+4F8D	시
U+4F8E	미
U+4F8F	주
U+4F90	혁
U+4F91	유
U+4F92	안
U+4F94	모
U+4F96	륜
U+4F97	동
U+4F98	차
U+4F9A	순
U+4F9B	공
U+4F9C	주
U+4F9D	의
U+4F9E	여
U+4FAE	모
U+4FAF	후
U+4FB2	진
U+4FB5	침
U+4FB6	려
U+4FB9	정
U+4FBB	탈
U+4FBE	효
U+4FBF	편
U+4FC1	우
U+4FC2	계
U+4FC3	촉
U+4FC4	아
U+4FC5	구
U+4FC9	오
U+4FCA	준
U+4FCC	보
U+4FCD	량
U+4FCE	조
U+4FCF	초
U+4FD0	리
U+4FD1	용
U+4FD2	혼
U+4FD3	경
U+4FD4	현
U+4FD6	배
U+4FD7	속
U+4FD8	부
U+4FD9	희
U+4FDA	리
U+4FDB	면
U+4FDD	보
U+4FDE	유
U+4FDF	사
U+4FE0	협
U+4FE1	신
U+4FE3	오
U+4FEE	수
U+4FEF	부
U+4FF0	화
U+4FF1	구
U+4FF3	배
U+4FF4	천
U+4FF5	표
U+4FF6	숙
U+4FF8	봉
U+4FFA	엄
U+4FFE	비
U+5000	창
U+5002	병
U+5005	쉬
U+5006	량
U+5007	원
U+5009	창
U+500B	개
U+500D	배
U+500F	숙
U+5011	문
U+5012	도
U+5013	담
U+5014	굴
U+5016	행
U+5018	당
U+5019	후
U+501A	의
U+501C	척
U+501E	경
U+501F	차
U+5021	창
U+5022	첩
U+5023	방
U+5024	치
U+5025	공
U+5026	권
U+5027	종
U+5028	거
U+5029	천
U+502A	예
U+502B	륜
U+502C	탁
U+502D	왜
U+502E	라
U+5030	릉
U+503B	야
U+5043	언
U+5044	난
U+5046	준
U+5047	가
U+5048	게
U+5049	위
U+504A	우
U+504E	외
U+504F	편
U+5053	악
U+5055	해
U+5056	차
U+5058	간
U+5059	제
U+505A	주
U+505C	정
U+5060	요
U+5062	초
U+5065	건
U+5066	서
U+506A	핍
U+5070	설
U+5072	시
U+5074	측
U+5075	정
U+5076	우
U+5078	투
U+5080	괴
U+5083	소
U+5085	부
U+508B	강
U+508D	방
U+5091	걸
U+5092	혜
U+5094	겸
U+5096	창
U+5098	산
U+5099	비
U+509A	효
U+509B	용
U+509D	탑
U+509E	사
U+50A2	가
U+50AC	최
U+50AD	용
U+50AE	조
U+50B2	오
U+50B3	전
U+50B4	구
U+50B5	채
U+50B7	상
U+50BD	장
U+50BE	경
U+50BF	언
U+50C2	루
U+50C4	표
U+50C5	근
U+50C9	첨
U+50CA	선
U+50CE	준
U+50CF	상
U+50D1	교
U+50D4	준
U+50D5	복
U+50D6	희
U+50DA	료
U+50DB	기
U+50DE	위
U+50E2	천
U+50E5	요
U+50E6	추
U+50E7	승
U+50E9	한
U+50EC	초
U+50ED	참
U+50EE	동
U+50F5	강
U+50F9	가
U+50FB	벽
U+50FE	애
U+50FF	사
U+5100	의
U+5101	준
U+5102	농
U+5103	천
U+5104	억
U+5106	경
U+5107	현
U+5109	검
U+510B	담
U+5110	빈
U+5112	유
U+5113	대
U+5114	주
U+5115	제
U+5117	의
U+5118	진
U+511A	맹
U+511B	무
U+511C	녕
U+511F	상
U+5121	뢰
U+5122	려
U+5124	포
U+5125	육
U+5127	찬
U+512A	우
U+512B	호
U+5131	롱
U+5132	저
U+5133	참
U+5135	숙
U+5137	려
U+5138	라
U+5139	찬
U+513A	나
U+513B	당
U+513C	엄
U+513F	인
U+5140	올
U+5141	윤
U+5143	원
U+5144	형
U+5145	충
U+5146	조
U+5147	흉
U+5148	선
U+5149	광
U+514B	극
U+514C	태
U+514D	면
U+514E	토
U+5150	아
U+5152	아
U+5154	토
U+5155	시
U+5156	연
U+5157	연
U+515A	당
U+515C	두
U+5162	긍
U+5165	입
U+5167	내
U+5168	전
U+5169	량
U+516A	유
U+516B	팔
U+516C	공
U+516D	륙
U+516E	혜
U+5171	공
U+5175	병
U+5176	기
U+5177	구
U+5178	전
U+517C	겸
U+5180	기
U+5182	경
U+5186	엔
U+5189	염
U+518A	책
U+518C	책
U+518D	재
U+518F	경
U+5191	주
U+5192	모
U+5193	구
U+5195	면
U+5197	용
U+5198	유
U+519E	미
U+51A0	관
U+51A2	총
U+51A3	취
U+51A4	원
U+51A5	명
U+51AA	멱
U+51AC	동
U+51B0	빙
U+51B1	호
U+51B2	충
U+51B6	야
U+51B7	랭
U+51BD	렬
U+51BE	협
U+51C4	처
U+51C5	고
U+51C6	준
U+51C9	량
U+51CA	청
U+51CB	조
U+51CC	릉
U+51CD	동
U+51D1	주
U+51D2	의
U+51D4	창
U+51D6	준
U+51DB	름
U+51DC	름
U+51DD	응
U+51DE	희
U+51E0	궤
U+51E1	범
U+51E6	처
U+51E9	목
U+51ED	빙
U+51F0	황
U+51F1	개
U+51F3	등
U+51F4	빙
U+51F6	흉
U+51F8	철
U+51F9	요
U+51FA	출
U+51FD	함
U+5200	도
U+5201	조
U+5203	인
U+5206	분
U+5207	절
U+5208	예
U+520A	간
U+520E	문
U+5211	형
U+5213	완
U+5216	월
U+5217	렬
U+521D	초
U+5224	판
U+5225	별
U+5226	겁
U+5227	겁
U+5229	리
U+522A	산
U+522E	괄
U+5230	도
U+5231	창
U+5232	규
U+5233	고
U+5236	제
U+5237	쇄
U+5238	권
U+5239	찰
U+523A	자
U+523B	각
U+5243	체
U+5244	경
U+5246	라
U+5247	칙
U+5249	좌
U+524A	삭
U+524B	극
U+524C	랄
U+524D	전
U+5254	척
U+5255	비
U+5256	부
U+5257	잔
U+525A	사
U+525B	강
U+525D	박
U+525E	기
U+525F	철
U+5261	섬
U+5269	잉
U+526A	전
U+526F	부
U+5272	할
U+5274	개
U+5275	창
U+5277	산
U+527A	리
U+527D	표
U+527F	초
U+5282	궤
U+5283	획
U+5287	극
U+5288	벽
U+5289	류
U+528D	검
U+5291	제
U+5292	검
U+5293	의
U+5297	찬
U+5298	마
U+529B	력
U+529F	공
U+52A0	가
U+52A3	렬
U+52A4	근
U+52A7	지
U+52A9	조
U+52AA	노
U+52AB	겁
U+52AC	구
U+52AD	소
U+52AE	일
U+52B9	효
U+52BE	핵
U+52C1	경
U+52C3	발
U+52C5	칙
U+52C7	용
U+52C9	면
U+52CC	권
U+52CD	경
U+52D2	륵
U+52D5	동
U+52D6	욱
U+52D8	감
U+52D9	무
U+52DB	훈
U+52DD	승
U+52DE	로
U+52DF	모
U+52E0	륙
U+52E1	표
U+52E2	세
U+52E3	적
U+52E4	근
U+52E6	초
U+52ED	동
U+52F2	훈
U+52F3	훈
U+52F5	려
U+52F8	권
U+52FA	작
U+52FB	균
U+52FE	구
U+52FF	물
U+5300	균
U+5301	문
U+5302	내
U+5303	개
U+5305	포
U+5308	흉
U+530A	국
U+530C	합
U+530D	포
U+530F	포
U+5310	복
U+5315	비
U+5316	화
U+5317	배
U+5319	시
U+5320	장
U+5321	광
U+5323	갑
U+5327	협
U+532A	비
U+532F	회
U+5331	궤
U+5336	구
U+5338	혜
U+5339	필
U+533B	예
U+533D	언
U+533E	편
U+533F	닉
U+5340	구
U+5341	십
U+5343	천
U+5344	입
U+5345	삽
U+5347	승
U+5348	오
U+5349	훼
U+534A	반
U+534D	만
U+5351	비
U+5352	졸
U+5353	탁
U+5354	협
U+5357	남
U+535A	박
U+535C	복
U+535E	변
U+5360	점
U+5361	잡
U+5366	괘
U+5368	설
U+536C	앙
U+536E	치
U+536F	묘
U+5370	인
U+5371	위
U+5372	소
U+5373	즉
U+5374	각
U+5375	란
U+5377	권
U+5378	사
U+5379	휼
U+537A	근
U+537B	각
U+537D	즉
U+537E	악
U+537F	경
U+5384	액
U+538E	지
U+5393	애
U+5396	방
U+5398	리
U+539A	후
U+539D	조
U+539F	원
U+53A0	측
U+53A5	궐
U+53A6	하
U+53AA	근
U+53AD	염
U+53AE	시
U+53B2	려
U+53B3	엄
U+53B9	구
U+53BB	거
U+53C3	삼
U+53C5	참
U+53C8	우
U+53C9	차
U+53CA	급
U+53CB	우
U+53CC	쌍
U+53CD	반
U+53D4	숙
U+53D6	취
U+53D7	수
U+53D9	서
U+53DB	반
U+53DF	수
U+53E1	예
U+53E2	총
U+53E3	구
U+53E4	고
U+53E5	구
U+53E6	령
U+53E8	도
U+53E9	고
U+53EA	지
U+53EB	규
U+53EC	소
U+53ED	팔
U+53EE	정
U+53EF	가
U+53F0	태
U+53F1	질
U+53F2	사
U+53F3	우
U+53F4	구
U+53F5	파
U+53F6	협
U+53F7	호
U+53F8	사
U+5401	우
U+5403	흘
U+5404	각
U+5408	합
U+5409	길
U+540A	적
U+540B	촌
U+540C	동
U+540D	명
U+540E	후
U+540F	리
U+5410	토
U+5411	향
U+541B	군
U+541D	린
U+541F	음
U+5420	폐
U+5426	부
U+5429	분
U+542B	함
U+542C	은
U+542E	전
U+5431	지
U+5433	오
U+5436	눌
U+5438	흡
U+5439	취
U+543B	문
U+543C	후
U+543D	후
U+543E	오
U+5440	하
U+5442	려
U+5446	매
U+5448	정
U+544A	고
U+544E	척
U+5451	탄
U+545D	액
U+545F	현
U+5462	니
U+5464	령
U+5466	유
U+5468	주
U+546A	주
U+546B	첩
U+5470	자
U+5471	고
U+5473	미
U+5475	가
U+5476	노
U+547B	신
U+547C	호
U+547D	명
U+547F	거
U+5480	저
U+5484	돌
U+5486	포
U+5487	필
U+548B	사
U+548C	화
U+548D	해
U+548E	구
U+548F	영
U+5490	부
U+5496	가
U+54A0	집
U+54A2	악
U+54A4	타
U+54A5	희
U+54A8	자
U+54AB	지
U+54AC	교
U+54AF	각
U+54B2	소
U+54B3	해
U+54B8	함
U+54BB	휴
U+54BC	괘
U+54BD	열
U+54BF	이
U+54C0	애
U+54C1	품
U+54C2	신
U+54C3	동
U+54C4	홍
U+54C6	치
U+54C7	와
U+54C8	합
U+54C9	재
U+54E1	운
U+54E5	가
U+54E6	아
U+54E8	초
U+54E9	리
U+54ED	곡
U+54EE	효
U+54F1	발
U+54F2	철
U+54FA	포
U+54FD	경
U+54FF	가
U+5504	패
U+5506	사
U+5507	진
U+5509	애
U+550E	리
U+550F	희
U+5510	당
U+5514	오
U+551C	말
U+552B	금
U+552E	수
U+552F	유
U+5531	창
U+5533	려
U+5535	암
U+5539	어
U+553B	래
U+553C	삽
U+553E	타
U+5540	애
U+5542	누
U+5544	탁
U+5546	상
U+554A	아
U+554F	문
U+5553	계
U+5556	담
U+5557	담
U+555C	철
U+555E	아
U+5563	함
U+557B	시
U+557C	제
U+557D	암
U+557E	추
U+557F	담
U+5580	객
U+5581	옹
U+5583	남
U+5584	선
U+5586	철
U+5587	라
U+5589	후
U+558A	함
U+558B	첩
U+5591	음
U+5593	요
U+5594	악
U+5598	천
U+5599	훼
U+559A	환
U+559C	희
U+559D	갈
U+559E	즉
U+559F	위
U+55A3	후
U+55A4	황
U+55A7	훤
U+55A8	량
U+55A9	유
U+55AA	상
U+55AB	끽
U+55AC	교
U+55AE	단
U+55B0	식
U+55C3	학
U+55C5	후
U+55C7	색
U+55C9	소
U+55D1	합
U+55D4	진
U+55DA	오
U+55DB	겸
U+55DC	기
U+55DF	차
U+55E0	락
U+55E2	올
U+55E3	사
U+55E4	치
U+55F7	오
U+55FD	수
U+55FE	주
U+55FF	탐
U+5604	교
U+5606	탄
U+5608	조
U+5609	가
U+560C	표
U+560D	루
U+560E	알
U+560F	가
U+5610	교
U+5612	혜
U+5614	구
U+5615	언
U+5616	책
U+5617	상
U+5629	화
U+562C	최
U+562F	소
U+5632	조
U+5634	취
U+5636	시
U+5637	호
U+5638	무
U+5639	료
U+563B	희
U+563F	묵
U+5641	오
U+5642	준
U+5649	담
U+564B	톤
U+564D	초
U+564E	열
U+564F	흡
U+5653	허
U+5664	금
U+5665	농
U+5668	기
U+5669	악
U+566A	조
U+566B	희
U+566C	서
U+566D	교
U+566F	애
U+5672	쾌
U+5674	분
U+5675	도
U+5676	갈
U+5678	톤
U+567A	신
U+567E	음
U+5680	녕
U+5684	획
U+5686	효
U+5687	하
U+568F	체
U+5699	교
U+569A	은
U+56A5	연
U+56A7	로
U+56AC	빈
U+56AE	향
U+56B3	곡
U+56B4	엄
U+56B6	앵
U+56BC	작
U+56C0	전
U+56C1	섭
U+56C2	효
U+56C3	잡
U+56C8	예
U+56C9	라
U+56CA	낭
U+56CD	희
U+56D1	촉
U+56DA	수
U+56DB	사
U+56DE	회
U+56DF	신
U+56E0	인
U+56E6	연
U+56E7	경
U+56EB	홀
U+56EE	와
U+56F0	곤
U+56F7	균
U+56F9	령
U+56FA	고
U+56FD	국
U+56FF	유
U+5701	은
U+5702	혼
U+5703	포
U+5704	어
U+5707	륜
U+5708	권
U+5709	어
U+570A	청
U+570B	국
U+570D	위
U+5712	원
U+5713	원
U+5716	도
U+5718	단
U+571C	원
U+571F	토
U+5725	록
U+5728	재
U+5729	우
U+572A	을
U+572C	오
U+572D	규
U+572E	비
U+5730	지
U+573B	기
U+573E	급
U+5740	지
U+5741	지
U+5742	판
U+5747	균
U+574A	방
U+574C	분
U+574D	담
U+574E	감
U+574F	배
U+5750	좌
U+5751	갱
U+5761	파
U+5764	곤
U+5766	탄
U+5767	척
U+5768	이
U+5769	감
U+576A	평
U+576E	대
U+576F	배
U+5770	경
U+5771	앙
U+5773	요
U+5775	구
U+5777	가
U+5778	구
U+577B	지
U+577C	탁
U+5782	수
U+5788	대
U+578B	형
U+578C	동
U+5793	해
U+5795	후
U+579E	타
U+57A0	은
U+57A2	구
U+57A3	원
U+57A4	질
U+57B8	완
U+57BD	은
U+57C3	애
U+57C6	각
U+57C7	용
U+57C8	준
U+57C9	협
U+57CB	매
U+57CE	성
U+57CF	연
U+57D1	철
U+57D2	랄
U+57DC	야
U+57DF	역
U+57E0	부
U+57E4	비
U+57E9	정
U+57ED	태
U+57EE	담
U+57F0	채
U+57F3	감
U+57F4	식
U+57F6	예
U+57F7	집
U+57F9	배
U+57FA	기
U+57FB	준
U+57FC	기
U+57FD	소
U+5800	굴
U+5802	당
U+5803	곤
U+5804	예
U+5805	견
U+5806	퇴
U+5807	근
U+5808	강
U+5809	육
U+580A	악
U+580B	붕
U+5817	돌
U+5819	인
U+581D	과
U+581E	첩
U+5820	후
U+5821	보
U+5823	우
U+5824	제
U+5825	무
U+5826	계
U+5827	연
U+582A	감
U+582D	황
U+582F	요
U+5830	언
U+5831	보
U+5834	장
U+5835	도
U+583A	계
U+5840	병
U+5849	척
U+584A	괴
U+584B	영
U+584C	탑
U+584D	승
U+584F	개
U+5850	소
U+5851	소
U+5852	시
U+5854	탑
U+5857	도
U+5858	당
U+5859	고
U+585A	총
U+585E	새
U+5861	전
U+5862	오
U+5864	훈
U+5869	염
U+5875	진
U+5879	참
U+587C	전
U+587D	상
U+587E	숙
U+5880	지
U+5881	만
U+5883	경
U+5885	서
U+5889	용
U+588A	점
U+588C	척
U+588D	기
U+5890	근
U+5893	묘
U+589C	추
U+589D	요
U+589E	증
U+589F	허
U+58A1	선
U+58A3	복
U+58A8	묵
U+58A9	돈
U+58AB	준
U+58AE	타
U+58B0	담
U+58B1	등
U+58B3	분
U+58BA	오
U+58BB	장
U+58BE	간
U+58C1	벽
U+58C3	강
U+58C5	옹
U+58C7	단
U+58CE	훈
U+58D1	학
U+58D3	압
U+58D4	도
U+58D5	호
U+58D8	루
U+58D9	광
U+58DA	로
U+58DC	담
U+58DD	유
U+58DE	괴
U+58DF	롱
U+58E1	예
U+58E4	양
U+58EB	사
U+58EC	임
U+58EE	장
U+58EF	장
U+58F9	일
U+58FA	호
U+58FB	서
U+58FD	수
U+5906	봉
U+5908	재
U+590F	하
U+5910	형
U+5914	기
U+5915	석
U+5916	외
U+5919	숙
U+591A	다
U+591B	다
U+591C	야
U+5922	몽
U+5924	인
U+5925	과
U+5927	대
U+5929	천
U+592A	태
U+592B	부
U+592C	쾌
U+592D	요
U+592E	앙
U+592F	항
U+5931	실
U+5932	도
U+5937	이
U+5938	과
U+593D	운
U+593E	협
U+5944	엄
U+5947	기
U+5948	나
U+5949	봉
U+594C	점
U+594E	규
U+594F	주
U+5950	환
U+5951	계
U+5953	차
U+5954	분
U+5955	혁
U+5957	투
U+5958	장
U+595A	해
U+595C	비
U+5960	전
U+5962	사
U+5967	오
U+5969	렴
U+596A	탈
U+596B	윤
U+596C	장
U+596D	석
U+596E	분
U+5971	련
U+5972	다
U+5973	녀
U+5974	노
U+5976	내
U+5978	간
U+597D	호
U+5982	여
U+5983	비
U+5984	망
U+598A	임
U+598C	정
U+598D	연
U+5991	파
U+5992	투
U+5993	기
U+5996	요
U+5997	금
U+5998	운
U+5999	묘
U+599D	장
U+599F	안
U+59A3	비
U+59A4	여
U+59A5	타
U+59A7	완
U+59A8	방
U+59AC	투
U+59AE	니
U+59AF	축
U+59B1	초
U+59B2	달
U+59B5	주
U+59B6	현
U+59B8	아
U+59B9	매
U+59BB	처
U+59BE	첩
U+59BF	아
U+59C1	후
U+59C3	정
U+59C6	모
U+59C8	령
U+59C9	자
U+59CA	자
U+59CB	시
U+59CD	산
U+59D0	저
U+59D1	고
U+59D2	사
U+59D3	성
U+59D4	위
U+59D9	임
U+59DA	요
U+59DC	강
U+59DD	주
U+59DE	길
U+59DF	해
U+59E2	연
U+59E3	교
U+59E4	구
U+59E5	모
U+59E6	간
U+59E8	이
U+59EA	질
U+59EB	희
U+59EC	희
U+59EE	항
U+59F0	순
U+59F2	안
U+59F7	유
U+59F8	연
U+59F9	차
U+59FA	신
U+59FB	인
U+59FC	제
U+59FF	자
U+5A01	위
U+5A03	와
U+5A09	빙
U+5A0A	현
U+5A0D	성
U+5A11	사
U+5A13	미
U+5A18	낭
U+5A19	형
U+5A1B	오
U+5A1C	나
U+5A1F	연
U+5A20	신
U+5A23	제
U+5A25	아
U+5A27	태
U+5A29	만
U+5A2B	연
U+5A2D	애
U+5A35	추
U+5A36	취
U+5A3C	창
U+5A3F	아
U+5A40	아
U+5A41	루
U+5A46	파
U+5A47	채
U+5A49	완
U+5A4B	호
U+5A4C	숙
U+5A50	와
U+5A51	유
U+5A5A	혼
U+5A60	완
U+5A62	비
U+5A63	인
U+5A66	부
U+5A67	정
U+5A69	안
U+5A6A	람
U+5A6D	아
U+5A72	화
U+5A77	정
U+5A7F	서
U+5A84	미
U+5A8D	부
U+5A90	이
U+5A92	매
U+5A93	황
U+5A95	암
U+5A9A	미
U+5A9B	원
U+5A9E	시
U+5A9F	설
U+5AA2	모
U+5AA4	시
U+5AA7	왜
U+5AAA	오
U+5AB3	식
U+5AB5	잉
U+5ABA	미
U+5ABB	반
U+5ABC	온
U+5ABD	마
U+5ABE	구
U+5ABF	괴
U+5AC1	가
U+5AC2	수
U+5AC4	원
U+5AC8	앵
U+5AC9	질
U+5ACB	뇨
U+5ACC	혐
U+5AD5	예
U+5AD6	표
U+5AD7	구
U+5AD9	선
U+5ADA	만
U+5ADB	예
U+5ADD	강
U+5AE0	리
U+5AE1	적
U+5AE2	규
U+5AE3	언
U+5AE4	근
U+5AE5	전
U+5AE6	항
U+5AE9	눈
U+5AEB	모
U+5AEC	서
U+5AED	호
U+5AEE	호
U+5AEF	오
U+5AF6	초
U+5AFA	한
U+5AFB	한
U+5AFD	료
U+5B00	규
U+5B05	화
U+5B08	요
U+5B09	희
U+5B0B	선
U+5B0C	교
U+5B16	폐
U+5B19	장
U+5B1B	현
U+5B25	조
U+5B28	자
U+5B2A	빈
U+5B2D	내
U+5B30	영
U+5B32	뇨
U+5B34	영
U+5B3E	란
U+5B3F	연
U+5B40	상
U+5B43	양
U+5B45	섬
U+5B4C	련
U+5B50	자
U+5B51	혈
U+5B54	공
U+5B55	잉
U+5B56	자
U+5B57	자
U+5B58	존
U+5B5A	부
U+5B5B	패
U+5B5C	자
U+5B5D	효
U+5B5F	맹
U+5B61	태
U+5B63	계
U+5B64	고
U+5B65	노
U+5B66	학
U+5B69	해
U+5B6B	손
U+5B70	숙
U+5B71	잔
U+5B75	부
U+5B76	자
U+5B78	학
U+5B7A	유
U+5B7C	얼
U+5B7F	산
U+5B81	저
U+5B82	용
U+5B85	댁
U+5B87	우
U+5B88	수
U+5B89	안
U+5B8A	가
U+5B8B	송
U+5B8C	완
U+5B8F	굉
U+5B93	복
U+5B95	탕
U+5B96	횡
U+5B97	종
U+5B98	관
U+5B99	주
U+5B9A	정
U+5B9B	완
U+5B9C	의
U+5B9D	보
U+5B9F	실
U+5BA2	객
U+5BA3	선
U+5BA4	실
U+5BA5	유
U+5BA6	환
U+5BAC	성
U+5BAE	궁
U+5BB0	재
U+5BB3	해
U+5BB4	연
U+5BB5	소
U+5BB6	가
U+5BB8	신
U+5BB9	용
U+5BBF	수
U+5BC0	채
U+5BC2	적
U+5BC3	원
U+5BC4	기
U+5BC5	인
U+5BC6	밀
U+5BC7	구
U+5BCC	부
U+5BD0	매
U+5BD2	한
U+5BD3	우
U+5BD4	식
U+5BD6	침
U+5BD7	녕
U+5BD8	치
U+5BDB	관
U+5BDE	막
U+5BDF	찰
U+5BE1	과
U+5BE2	침
U+5BE4	오
U+5BE5	요
U+5BE6	실
U+5BE7	녕
U+5BE8	채
U+5BE9	심
U+5BEB	사
U+5BEC	관
U+5BED	혜
U+5BEE	료
U+5BEF	준
U+5BF0	환
U+5BF5	총
U+5BF6	보
U+5BF8	촌
U+5BFA	사
U+5BFF	수
U+5C01	봉
U+5C04	사
U+5C05	극
U+5C06	장
U+5C07	장
U+5C08	전
U+5C09	위
U+5C0A	존
U+5C0B	심
U+5C0C	주
U+5C0D	대
U+5C0E	도
U+5C0F	소
U+5C11	소
U+5C14	이
U+5C16	첨
U+5C19	상
U+5C1F	선
U+5C20	선
U+5C24	우
U+5C28	방
U+5C2B	왕
U+5C31	취
U+5C38	시
U+5C39	윤
U+5C3A	척
U+5C3B	고
U+5C3C	니
U+5C3D	진
U+5C3E	미
U+5C3F	뇨
U+5C40	국
U+5C41	비
U+5C45	거
U+5C46	계
U+5C47	전
U+5C48	굴
U+5C4B	옥
U+5C4D	시
U+5C4E	시
U+5C50	극
U+5C51	설
U+5C55	전
U+5C5B	병
U+5C60	도
U+5C62	루
U+5C64	층
U+5C65	리
U+5C68	구
U+5C6C	속
U+5C6F	둔
U+5C71	산
U+5C73	선
U+5C79	흘
U+5C7A	기
U+5C88	하
U+5C8A	절
U+5C8C	급
U+5C8F	완
U+5C90	기
U+5C91	잠
U+5C92	겸
U+5C94	차
U+5C9D	작
U+5CA1	강
U+5CA3	구
U+5CA5	파
U+5CA6	립
U+5CA7	초
U+5CA8	저
U+5CA9	암
U+5CAA	불
U+5CAB	수
U+5CAC	갑
U+5CAD	령
U+5CB1	대
U+5CB3	악
U+5CB5	호
U+5CB7	민
U+5CB8	안
U+5CBA	령
U+5CBE	점
U+5CC0	수
U+5CCB	순
U+5CD2	동
U+5CD9	치
U+5CE0	상
U+5CE8	아
U+5CE9	아
U+5CED	초
U+5CEF	봉
U+5CF0	봉
